dataset,outer_fold,model,selected_params,inner_macro_f1,inner_accuracy,outer_accuracy,outer_macro_f1,correct,total,features,selection_seconds,fit_seconds,prediction_seconds,tree_depth,tree_leaves,tree_nodes
Flare,6,BernoulliNB,"{""alpha"": 0.01}",0.1689725688729441,0.7416297731045932,0.7338129496402878,0.10991379310344827,102,139,30,0.022591966000618413,0.0006620059994020266,0.00018135000027541537,,,
Flare,6,RandomForest,"{""max_depth"": 20, ""min_samples_leaf"": 1}",0.13856218931686287,0.8160106530160487,0.8273381294964028,0.14123159303882193,115,139,30,2.692498861000786,0.1756491759988421,0.022822860000815126,,,
Flare,7,CART,"{""ccp_alpha"": 0.0, ""max_depth"": null, ""min_samples_leaf"": 1}",0.14322145162834057,0.8023869366045625,0.8129496402877698,0.11254980079681275,113,139,30,0.19893670700002986,0.0033703160006552935,0.00015549199997622054,16,227,453
Flare,7,Logistic,"{""C"": 1.0}",0.12730058967774233,0.8408023581135092,0.841726618705036,0.1142578125,117,139,30,0.5370876849992783,0.04211680600019463,0.00017553100042277947,,,
Flare,7,BernoulliNB,"{""alpha"": 0.1}",0.19506266993070817,0.736799022320605,0.7553956834532374,0.12710084033613445,105,139,30,0.023769908999383915,0.000660063000395894,0.0001837640011217445,,,
Flare,7,RandomForest,"{""max_depth"": 20, ""min_samples_leaf"": 1}",0.13805391136979614,0.8127978386521552,0.8201438848920863,0.11354581673306773,114,139,30,2.7089553129990236,0.1680701900004351,0.023532474999228725,,,
Flare,8,CART,"{""ccp_alpha"": 0.0, ""max_depth"": null, ""min_samples_leaf"": 1}",0.15039895906270817,0.8120080858390212,0.7769784172661871,0.10931174089068826,108,139,30,0.1988899779989879,0.0035366740012250375,0.00019336699915584177,15,233,465
Flare,8,Logistic,"{""C"": 100.0}",0.13572233836910386,0.8327991452991452,0.8273381294964028,0.11318897637795275,115,139,30,0.44769132299916237,0.10206008599925553,0.00020326199955889024,,,
Flare,8,BernoulliNB,"{""alpha"": 1.0}",0.1765936978797188,0.7463971130787678,0.7482014388489209,0.1717171717171717,104,139,30,0.02403905000028317,0.0006669930007774383,0.00018049800019070972,,,
Flare,8,RandomForest,"{""max_depth"": 20, ""min_samples_leaf"": 1}",0.14181848745660988,0.8159895160794441,0.8201438848920863,0.11264822134387352,114,139,30,2.532031921999078,0.16348533100062923,0.023018910998871434,,,
Flare,9,CART,"{""ccp_alpha"": 0.0, ""max_depth"": null, ""min_samples_leaf"": 1}",0.15372978548921626,0.7952061427780852,0.8129496402877698,0.15749128919860628,113,139,30,0.2088487700002588,0.003333571999974083,0.00015395899936265778,16,207,413
Flare,9,Logistic,"{""C"": 10.0}",0.13915297106710958,0.8415997970854087,0.841726618705036,0.13058035714285715,117,139,30,0.45259988399993745,0.03127499999936845,0.00012071899982402101,,,
Flare,9,BernoulliNB,"{""alpha"": 1.0}",0.22887357919438758,0.751216334624608,0.7841726618705036,0.27773335039344893,109,139,30,0.028843781001341995,0.0007730100005574059,0.00020136999955866486,,,
Flare,9,RandomForest,"{""max_depth"": 20, ""min_samples_leaf"": 1}",0.14021742132086504,0.8112029607083565,0.8201438848920863,0.14418045112781955,114,139,30,2.45408112000041,0.16211541200027568,0.023194221999801812,,,
Flare,10,CART,"{""ccp_alpha"": 0.0, ""max_depth"": null, ""min_samples_leaf"": 1}",0.13866958433228438,0.7969624300559554,0.8260869565217391,0.1266117099978863,114,138,30,0.1965480420003587,0.0033334609997837106,0.00013519099957193248,18,223,445
Flare,10,Logistic,"{""C"": 10.0}",0.13020859716342806,0.8361310951239008,0.8478260869565217,0.11515748031496063,117,138,30,0.45609785600026953,0.029458274999342393,0.00012244199933775235,,,
